Model,Accuracy,F1 Score,Precision,Recall,Reliability (Brier),AUC (Supplementary)
RandomForest,0.8888888888888888,0.8,0.8,0.8,0.09975573731786956,0.9538461538461538
XGBoost,0.8333333333333334,0.7692307692307693,0.625,1.0,0.08494988690666234,1.0
GaussianNB,0.7777777777777778,0.7142857142857143,0.5555555555555556,1.0,0.18072669497962057,1.0
