Month,Barangay,seasonal_share,overall_share,recent_share
1,ALFONSO TABORA,0.011842757936507936,0.008577975256185956,0.0
1,AMBIONG,0.015873015873015872,0.013373799536951175,0.03810389217022565
1,ANDRES BONIFACIO (LOWER BOKAWKAN),0.02305533279871692,0.011568883890780302,0.0
1,APUGAN-LOAKAN,0.009720203488372093,0.013925302344019978,0.016299709848096946
1,ASIN ROAD,0.03869691525534298,0.040495139629523946,0.04824742961953321
1,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),0.06666666666666667,0.016451128900714637,0.0
1,"AURORA HILL, NORTH CENTRAL",0.011627906976744186,0.0070440500353404975,0.0
1,BAKAKENG CENTRAL,0.09231171875994451,0.05252287905817909,0.07683376243121813
1,BAKAKENG NORTH,0.04293083559272413,0.031713512950439615,0.04225352112676056
1,BALSIGAN,0.02066122715681657,0.018198826328624757,0.03046174297878069
1,BAYAN PARK EAST,0.0078125,0.008733808240538508,0.016855764214919144
1,BAYAN PARK WEST,0.0234375,0.011555436430478272,0.010752688172043012
1,BGH COMPOUND,0.033704170432317986,0.014700542507853678,0.019371906468680665
1,CAMDAS SUBDIVISION,0.011771140949920019,0.010891636723397727,0.018518518518518517
1,CAMP 7,0.05157666892605746,0.05260247531961397,0.07195130159691723
1,CAMP 8,0.011627906976744186,0.027513281058517875,0.010752688172043012
1,CAMP ALLEN,0.015625,0.015977416085353455,0.016855764214919144
1,CAMPO FILIPINO,0.023255813953488372,0.012225925774298428,0.018518518518518517
1,CRESENCIA VILLAGE,0.011627906976744186,0.01393283911563931,0.0
1,"DAGSIAN, UPPER",0.015873015873015872,0.005526063241343298,0.0
1,DOMINICAN HILL-MIRADOR,0.027276674335866398,0.015020287210642485,0.01705285476298652
1,DONTOGAN,0.015625,0.014648554964830397,0.01408450704225352
1,DPS AREA,0.0078125,0.009108315198818107,0.0
1,ENGINEERS' HILL,0.013750461424880029,0.01331129875644272,0.037037037037037035
1,FAIRVIEW VILLAGE,0.018251276608834747,0.022199649377479237,0.029804634257155835
1,FERDINAND,0.0078125,0.0108702922963161,0.016299709848096946
1,FERDINAND (HAPPY HOMES-CAMPO SIOCO),0.023255813953488372,0.010982570777634908,0.0
1,FORT DEL PILAR,0.06896551724137931,0.012595409442947061,0.0
1,GABRIELA SILANG,0.06666666666666667,0.01842431555907383,0.018518518518518517
1,"GENERAL EMILIO F. AGUINALDO (QUIRINO-MAGSAYSAY, LOWER)",0.023255813953488372,0.02957987240482632,0.0
1,"GENERAL LUNA, UPPER",0.015625,0.007661001292752662,0.012751779494169318
1,GIBRALTAR,0.019523078934416144,0.0256567382028497,0.010752688172043012
1,GREENWATER VILLAGE,0.015873015873015872,0.009009889610666877,0.0
1,GUISAD CENTRAL,0.042295258620689655,0.015045579087301749,0.01408450704225352
1,GUISAD SORONG,0.06666666666666667,0.012834062514595018,0.07042253521126761
1,HAPPY HOMES,0.015625,0.010513918973961787,0.03225806451612903
1,HAPPY HOMES (HAPPY HOMES-LUCBAN),0.03914728682170543,0.014811403474952915,0.0
1,HOLY GHOST EXTENSION,0.011842757936507936,0.013546610934805506,0.012751779494169318
1,HOLY GHOST PROPER,0.017974388532477948,0.009430139713221332,0.010752688172043012
1,HONEYMOON,0.0078125,0.011782810540811135,0.0
1,IMELDA R. MARCOS,0.0078125,0.007710869303299596,0.010752688172043012
1,IMELDA VILLAGE,0.015873015873015872,0.010702149333658014,0.018518518518518517
1,IRISAN,0.07141845289806648,0.08043941817927641,0.06322546990425228
1,KAYANG EXTENSION,0.015873015873015872,0.009188434562808151,0.0
1,KAYANG-HILLTOP,0.06666666666666667,0.02043479107724134,0.0
1,KIAS,0.020855443275501415,0.03100431958926556,0.024085853231696028
1,LEGARDA-BURNHAM-KISAD,0.015873015873015872,0.011080265765694961,0.0
1,LIWANAG-LOAKAN,0.015749007936507936,0.019213489096757252,0.03225806451612903
1,LOAKAN PROPER,0.04352778414225888,0.03835140492788289,0.046248338297406905
1,LOPEZ JAENA,0.0078125,0.010017775798486228,0.018518518518518517
1,LOURDES SUBDIVISION EXTENSION,0.009720203488372093,0.009976885449244199,0.02816901408450704
1,"LOURDES SUBDIVISION, PROPER",0.0078125,0.005727180185290716,0.010752688172043012
1,LUCNAB,0.015625,0.013416006879613617,0.010752688172043012
1,MAGSAYSAY PRIVATE ROAD,0.019779265873015872,0.008378518994245644,0.0
1,"MARKET SUBDIVISION, UPPER",0.011627906976744186,0.007239918360144109,0.0
1,MIDDLE QUEZON HILL SUBDIVISION,0.0078125,0.008068844792422614,0.0
1,MILITARY CUT-OFF,0.011627906976744186,0.01377961119491897,0.0
1,"MODERN SITE, EAST",0.0078125,0.010574239438031615,0.0
1,MRR-QUEEN OF PEACE,0.015625,0.00957218819327287,0.018518518518518517
1,NEW LUCBAN,0.02326299885598452,0.016799016334701867,0.0
1,OUTLOOK DRIVE,0.0234375,0.008822046518116175,0.01408450704225352
1,PACDAL,0.039927621927546744,0.02653261121259708,0.01563514900634392
1,PADRE BURGOS,0.011627906976744186,0.013396974482136328,0.018518518518518517
1,PADRE ZAMORA,0.011627906976744186,0.009479748898209388,0.010752688172043012
1,PALMA-URBANO,0.015625,0.0074128478282451575,0.010752688172043012
