Date,Year,Month,Barangay,Barangay_cases
2021-12-01,2021,12,"ROCK QUARRY, UPPER",1
2021-12-01,2021,12,SAINT JOSEPH VILLAGE,1
2021-12-01,2021,12,SALUD MITRA,1
2021-12-01,2021,12,SAN ANTONIO VILLAGE,1
2021-12-01,2021,12,SAN LUIS VILLAGE,1
2021-12-01,2021,12,SAN ROQUE VILLAGE,1
2021-12-01,2021,12,"SANITARY CAMP, SOUTH",1
2021-12-01,2021,12,SANTA ESCOLASTICA,1
2021-12-01,2021,12,SESSION ROAD AREA,1
2021-12-01,2021,12,SLU-SVP HOUSING VILLAGE,1
2022-01-01,2022,1,ASIN ROAD,2
2022-01-01,2022,1,FORT DEL PILAR,2
2022-01-01,2022,1,GUISAD CENTRAL,2
2022-01-01,2022,1,LOAKAN PROPER,2
2022-01-01,2022,1,PACDAL,2
2022-01-01,2022,1,ANDRES BONIFACIO (LOWER BOKAWKAN),1
2022-01-01,2022,1,BAKAKENG CENTRAL,1
2022-01-01,2022,1,BAKAKENG NORTH,1
2022-01-01,2022,1,BALSIGAN,1
2022-01-01,2022,1,BGH COMPOUND,1
2022-01-01,2022,1,CAMP 7,1
2022-01-01,2022,1,DOMINICAN HILL-MIRADOR,1
2022-01-01,2022,1,HOLY GHOST PROPER,1
2022-01-01,2022,1,IRISAN,1
2022-01-01,2022,1,NEW LUCBAN,1
2022-01-01,2022,1,PINGET,1
2022-01-01,2022,1,QUEZON HILL PROPER,1
2022-01-01,2022,1,"QUIRINO HILL, EAST",1
2022-01-01,2022,1,"ROCK QUARRY, UPPER",1
2022-01-01,2022,1,SAN VICENTE,1
2022-01-01,2022,1,"SANITARY CAMP, NORTH",1
2022-01-01,2022,1,SANTA ESCOLASTICA,1
2022-01-01,2022,1,SANTO TOMAS PROPER,1
2022-01-01,2022,1,TEODORA ALONZO,1
2022-02-01,2022,2,PINSAO PILOT PROJECT,5
2022-02-01,2022,2,IRISAN,4
2022-02-01,2022,2,PINGET,2
2022-02-01,2022,2,"QUIRINO HILL, EAST",2
2022-02-01,2022,2,SAN LUIS VILLAGE,2
2022-02-01,2022,2,A. BONIFACIO-CAGUIOA-RIMANDO (ABCR),1
2022-02-01,2022,2,BAKAKENG CENTRAL,1
2022-02-01,2022,2,BALSIGAN,1
2022-02-01,2022,2,CABINET HILL-TEACHER'S CAMP,1
2022-02-01,2022,2,CAMP 7,1
2022-02-01,2022,2,CAMP ALLEN,1
2022-02-01,2022,2,DONTOGAN,1
2022-02-01,2022,2,FAIRVIEW VILLAGE,1
2022-02-01,2022,2,GUISAD CENTRAL,1
2022-02-01,2022,2,PACDAL,1
2022-02-01,2022,2,PADRE BURGOS,1
2022-02-01,2022,2,QUEZON HILL PROPER,1
2022-03-01,2022,3,BAKAKENG CENTRAL,4
2022-03-01,2022,3,SAN LUIS VILLAGE,4
2022-03-01,2022,3,FAIRVIEW VILLAGE,2
2022-03-01,2022,3,HILLSIDE,2
2022-03-01,2022,3,LUCNAB,2
2022-03-01,2022,3,PINSAO PROPER,2
2022-03-01,2022,3,"AURORA HILL, SOUTH CENTRAL",1
2022-03-01,2022,3,BALSIGAN,1
2022-03-01,2022,3,BROOKSPOINT,1
2022-03-01,2022,3,CABINET HILL-TEACHER'S CAMP,1
2022-03-01,2022,3,CAMP 7,1
2022-03-01,2022,3,CITY CAMP PROPER,1
2022-03-01,2022,3,FORT DEL PILAR,1
2022-03-01,2022,3,GABRIELA SILANG,1
2022-03-01,2022,3,IRISAN,1
2022-03-01,2022,3,KIAS,1
2022-03-01,2022,3,LEGARDA-BURNHAM-KISAD,1
2022-03-01,2022,3,LOPEZ JAENA,1
2022-03-01,2022,3,PALMA-URBANO (CARIÑO-PALMA),1
2022-03-01,2022,3,PINSAO PILOT PROJECT,1
2022-03-01,2022,3,PUCSUSAN,1
2022-03-01,2022,3,"QUIRINO HILL, EAST",1
2022-03-01,2022,3,"QUIRINO HILL, LOWER",1
2022-03-01,2022,3,"ROCK QUARRY, MIDDLE",1
2022-03-01,2022,3,SAINT JOSEPH VILLAGE,1
2022-03-01,2022,3,SAN VICENTE,1
2022-03-01,2022,3,SANTO TOMAS PROPER,1
2022-03-01,2022,3,SCOUT BARRIO,1
2022-04-01,2022,4,BAKAKENG CENTRAL,4
2022-04-01,2022,4,BALSIGAN,4
2022-04-01,2022,4,SAN LUIS VILLAGE,3
2022-04-01,2022,4,BAKAKENG NORTH,2
2022-04-01,2022,4,FERDINAND (HAPPY HOMES-CAMPO SIOCO),2
2022-04-01,2022,4,IRISAN,2
2022-04-01,2022,4,KIAS,2
2022-04-01,2022,4,LOAKAN PROPER,2
2022-04-01,2022,4,PINSAO PROPER,2
2022-04-01,2022,4,"SANITARY CAMP, NORTH",2
2022-04-01,2022,4,SANTO TOMAS PROPER,2
2022-04-01,2022,4,APUGAN-LOAKAN,1
2022-04-01,2022,4,ASIN ROAD,1
2022-04-01,2022,4,CAMP 7,1
2022-04-01,2022,4,DPS AREA,1
2022-04-01,2022,4,FAIRVIEW VILLAGE,1
2022-04-01,2022,4,GIBRALTAR,1
2022-04-01,2022,4,GREENWATER VILLAGE,1
2022-04-01,2022,4,HOLY GHOST PROPER,1
2022-04-01,2022,4,KAYANG EXTENSION,1
2022-04-01,2022,4,MRR-QUEEN OF PEACE,1
2022-04-01,2022,4,NEW LUCBAN,1
2022-04-01,2022,4,OUTLOOK DRIVE,1
2022-04-01,2022,4,"ROCK QUARRY, LOWER",1
2022-04-01,2022,4,SLU-SVP HOUSING VILLAGE,1
2022-05-01,2022,5,LOAKAN PROPER,13
2022-05-01,2022,5,IRISAN,10
2022-05-01,2022,5,SAN LUIS VILLAGE,8
2022-05-01,2022,5,BAKAKENG CENTRAL,6
2022-05-01,2022,5,CAMP 7,6
2022-05-01,2022,5,KIAS,6
2022-05-01,2022,5,SLU-SVP HOUSING VILLAGE,6
2022-05-01,2022,5,COUNTRY CLUB VILLAGE,4
2022-05-01,2022,5,LUCNAB,4
2022-05-01,2022,5,PINSAO PILOT PROJECT,4
2022-05-01,2022,5,ASIN ROAD,3
2022-05-01,2022,5,BAKAKENG NORTH,3
2022-05-01,2022,5,BALSIGAN,3
2022-05-01,2022,5,CITY CAMP PROPER,3
2022-05-01,2022,5,GIBRALTAR,3
2022-05-01,2022,5,PACDAL,3
2022-05-01,2022,5,SAN VICENTE,3
2022-05-01,2022,5,CAMP 8,2
2022-05-01,2022,5,DIZON SUBDIVISION,2
2022-05-01,2022,5,FORT DEL PILAR,2
2022-05-01,2022,5,GABRIELA SILANG,2
2022-05-01,2022,5,SALUD MITRA,2
2022-05-01,2022,5,SLAUGHTER HOUSE AREA (SANTO NIÑO SLAUGHTER),2
2022-05-01,2022,5,TRANCOVILLE,2
2022-05-01,2022,5,"AURORA HILL, SOUTH CENTRAL",1
2022-05-01,2022,5,BAYAN PARK VILLAGE,1
2022-05-01,2022,5,BAYAN PARK WEST (BAYAN PARK),1
2022-05-01,2022,5,BROOKSIDE,1
2022-05-01,2022,5,CAMP ALLEN,1
2022-05-01,2022,5,CITY CAMP CENTRAL,1
2022-05-01,2022,5,CRESENCIA VILLAGE,1
2022-05-01,2022,5,"DAGSIAN, LOWER",1
2022-05-01,2022,5,DOMINICAN HILL-MIRADOR,1
2022-05-01,2022,5,DONTOGAN,1
2022-05-01,2022,5,FERDINAND (HAPPY HOMES-CAMPO SIOCO),1
2022-05-01,2022,5,GUISAD CENTRAL,1
2022-05-01,2022,5,HOLY GHOST EXTENSION,1
2022-05-01,2022,5,IMELDA R. MARCOS (LA SALLE),1
2022-05-01,2022,5,KAYANG EXTENSION,1
2022-05-01,2022,5,LEGARDA-BURNHAM-KISAD,1
2022-05-01,2022,5,LIWANAG-LOAKAN,1
2022-05-01,2022,5,MILITARY CUT-OFF,1
2022-05-01,2022,5,"MODERNSITE, WEST",1
2022-05-01,2022,5,OUTLOOK DRIVE,1
2022-05-01,2022,5,PINGET,1
2022-05-01,2022,5,PINSAO PROPER,1
2022-05-01,2022,5,POLIWES,1
2022-05-01,2022,5,"QUIRINO HILL, EAST",1
2022-05-01,2022,5,"QUIRINO HILL, LOWER",1
2022-05-01,2022,5,"QUIRINO HILL, MIDDLE",1
2022-05-01,2022,5,"ROCK QUARRY, UPPER",1
2022-05-01,2022,5,SAINT JOSEPH VILLAGE,1
2022-05-01,2022,5,SAN ANTONIO VILLAGE,1
2022-05-01,2022,5,SAN ROQUE VILLAGE,1
2022-05-01,2022,5,"SANITARY CAMP, SOUTH",1
2022-05-01,2022,5,SANTO TOMAS PROPER,1
2022-06-01,2022,6,BAKAKENG NORTH,44
2022-06-01,2022,6,IRISAN,44
2022-06-01,2022,6,LOAKAN PROPER,30
2022-06-01,2022,6,BAKAKENG CENTRAL,27
2022-06-01,2022,6,SAN LUIS VILLAGE,27
2022-06-01,2022,6,SLU-SVP HOUSING VILLAGE,22
2022-06-01,2022,6,CAMP 7,21
2022-06-01,2022,6,ASIN ROAD,17
2022-06-01,2022,6,KIAS,17
2022-06-01,2022,6,LUCNAB,17
2022-06-01,2022,6,PINGET,14
2022-06-01,2022,6,GIBRALTAR,13
2022-06-01,2022,6,PINSAO PROPER,10
2022-06-01,2022,6,FAIRVIEW VILLAGE,9
2022-06-01,2022,6,"ROCK QUARRY, LOWER",9
2022-06-01,2022,6,SAN VICENTE,9
2022-06-01,2022,6,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),8
2022-06-01,2022,6,DONTOGAN,8
2022-06-01,2022,6,PACDAL,8
2022-06-01,2022,6,PINSAO PILOT PROJECT,8
2022-06-01,2022,6,SAINT JOSEPH VILLAGE,8
2022-06-01,2022,6,"AURORA HILL, SOUTH CENTRAL",7
2022-06-01,2022,6,HAPPY HOLLOW,6
2022-06-01,2022,6,BALSIGAN,5
2022-06-01,2022,6,CITY CAMP PROPER,5
2022-06-01,2022,6,COUNTRY CLUB VILLAGE,5
2022-06-01,2022,6,SANTO TOMAS PROPER,5
2022-06-01,2022,6,AMBIONG,4
2022-06-01,2022,6,CAMP 8,4
2022-06-01,2022,6,CAMPO FILIPINO,4
2022-06-01,2022,6,DOMINICAN HILL-MIRADOR,4
2022-06-01,2022,6,GUISAD CENTRAL,4
2022-06-01,2022,6,GUISAD SORONG,4
2022-06-01,2022,6,HONEYMOON (HONEYMOON-HOLY GHOST),4
2022-06-01,2022,6,OUTLOOK DRIVE,4
2022-06-01,2022,6,PADRE BURGOS,4
2022-06-01,2022,6,PUCSUSAN,4
2022-06-01,2022,6,"QUIRINO HILL, LOWER",4
2022-06-01,2022,6,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",4
2022-06-01,2022,6,SLAUGHTER HOUSE AREA (SANTO NIÑO SLAUGHTER),4
2022-06-01,2022,6,TRANCOVILLE,4
2022-06-01,2022,6,VICTORIA VILLAGE,4
2022-06-01,2022,6,ENGINEERS' HILL,3
2022-06-01,2022,6,FERDINAND (HAPPY HOMES-CAMPO SIOCO),3
2022-06-01,2022,6,FORT DEL PILAR,3
2022-06-01,2022,6,HOLY GHOST EXTENSION,3
2022-06-01,2022,6,LEGARDA-BURNHAM-KISAD,3
2022-06-01,2022,6,"MAGSAYSAY, LOWER",3
2022-06-01,2022,6,MINES VIEW PARK,3
2022-06-01,2022,6,QUEZON HILL PROPER,3
2022-06-01,2022,6,SAN ANTONIO VILLAGE,3
2022-06-01,2022,6,SAN ROQUE VILLAGE,3
2022-06-01,2022,6,BGH COMPOUND,2
2022-06-01,2022,6,CAMP ALLEN,2
2022-06-01,2022,6,CITY CAMP CENTRAL,2
2022-06-01,2022,6,CRESENCIA VILLAGE,2
2022-06-01,2022,6,"GENERAL EMILIO F. AGUINALDO (QUIRINO-MAGSAYSAY, LOWER)",2
2022-06-01,2022,6,GREENWATER VILLAGE,2
2022-06-01,2022,6,HILLSIDE,2
2022-06-01,2022,6,IMELDA R. MARCOS (LA SALLE),2
2022-06-01,2022,6,LOPEZ JAENA,2
2022-06-01,2022,6,LUALHATI,2
2022-06-01,2022,6,MANUEL A. ROXAS,2
2022-06-01,2022,6,"MODERN SITE, EAST",2
2022-06-01,2022,6,NEW LUCBAN,2
2022-06-01,2022,6,"QUIRINO HILL, EAST",2
2022-06-01,2022,6,"ROCK QUARRY, UPPER",2
2022-06-01,2022,6,SANTO ROSARIO,2
2022-06-01,2022,6,ALFONSO TABORA,1
2022-06-01,2022,6,ANDRES BONIFACIO (LOWER BOKAWKAN),1
2022-06-01,2022,6,ATOK TRAIL,1
2022-06-01,2022,6,"AURORA HILL, NORTH CENTRAL",1
2022-06-01,2022,6,BAL-MARCOVILLE (MARCOVILLE),1
2022-06-01,2022,6,BAYAN PARK EAST,1
2022-06-01,2022,6,BAYAN PARK VILLAGE,1
2022-06-01,2022,6,BROOKSPOINT,1
2022-06-01,2022,6,CABINET HILL-TEACHER'S CAMP,1
2022-06-01,2022,6,DPS AREA,1
2022-06-01,2022,6,GABRIELA SILANG,1
2022-06-01,2022,6,"GENERAL LUNA, LOWER",1
2022-06-01,2022,6,"GENERAL LUNA, UPPER",1
2022-06-01,2022,6,HAPPY HOMES (HAPPY HOMES-LUCBAN),1
2022-06-01,2022,6,HOLY GHOST PROPER,1
2022-06-01,2022,6,KAYANG EXTENSION,1
2022-06-01,2022,6,KAYANG-HILLTOP,1
2022-06-01,2022,6,MAGSAYSAY PRIVATE ROAD,1
2022-06-01,2022,6,"MAGSAYSAY, UPPER",1
2022-06-01,2022,6,MIDDLE QUEZON HILL SUBDIVISION(QUEZON HILL MIDDLE),1
2022-06-01,2022,6,MRR-QUEEN OF PEACE,1
2022-06-01,2022,6,PALMA-URBANO (CARIÑO-PALMA),1
2022-06-01,2022,6,POLIWES,1
2022-06-01,2022,6,"QUEZON HILL, UPPER",1
2022-06-01,2022,6,"QUIRINO HILL, WEST",1
2022-06-01,2022,6,"ROCK QUARRY, MIDDLE",1
2022-06-01,2022,6,SALUD MITRA,1
2022-06-01,2022,6,"SANITARY CAMP, NORTH",1
2022-06-01,2022,6,SANTO TOMAS SCHOOL AREA,1
2022-07-01,2022,7,IRISAN,69
2022-07-01,2022,7,BAKAKENG NORTH,49
2022-07-01,2022,7,CAMP 7,47
2022-07-01,2022,7,LOAKAN PROPER,44
2022-07-01,2022,7,SAN LUIS VILLAGE,44
2022-07-01,2022,7,ASIN ROAD,38
2022-07-01,2022,7,BAKAKENG CENTRAL,31
2022-07-01,2022,7,SLU-SVP HOUSING VILLAGE,25
2022-07-01,2022,7,GIBRALTAR,22
2022-07-01,2022,7,KIAS,18
2022-07-01,2022,7,SANTO TOMAS PROPER,16
2022-07-01,2022,7,FAIRVIEW VILLAGE,14
2022-07-01,2022,7,PACDAL,13
2022-07-01,2022,7,PINSAO PILOT PROJECT,13
2022-07-01,2022,7,PINSAO PROPER,13
2022-07-01,2022,7,PINGET,12
2022-07-01,2022,7,PUCSUSAN,12
2022-07-01,2022,7,DONTOGAN,11
2022-07-01,2022,7,NEW LUCBAN,11
2022-07-01,2022,7,SAN VICENTE,11
2022-07-01,2022,7,COUNTRY CLUB VILLAGE,10
2022-07-01,2022,7,HAPPY HOLLOW,10
2022-07-01,2022,7,HOLY GHOST EXTENSION,10
2022-07-01,2022,7,POLIWES,10
2022-07-01,2022,7,CITY CAMP PROPER,9
2022-07-01,2022,7,IMELDA VILLAGE,9
2022-07-01,2022,7,SAINT JOSEPH VILLAGE,9
2022-07-01,2022,7,A. BONIFACIO-CAGUIOA-RIMANDO (ABCR),8
2022-07-01,2022,7,CAMP ALLEN,8
2022-07-01,2022,7,"QUIRINO HILL, LOWER",8
2022-07-01,2022,7,"AURORA HILL, SOUTH CENTRAL",7
2022-07-01,2022,7,BALSIGAN,7
2022-07-01,2022,7,BROOKSPOINT,7
2022-07-01,2022,7,CABINET HILL-TEACHER'S CAMP,7
2022-07-01,2022,7,GUISAD CENTRAL,7
2022-07-01,2022,7,LIWANAG-LOAKAN,7
2022-07-01,2022,7,LUCNAB,7
2022-07-01,2022,7,QUEZON HILL PROPER,7
2022-07-01,2022,7,"ROCK QUARRY, MIDDLE",7
2022-07-01,2022,7,SLAUGHTER HOUSE AREA (SANTO NIÑO SLAUGHTER),7
2022-07-01,2022,7,BGH COMPOUND,6
2022-07-01,2022,7,APUGAN-LOAKAN,5
2022-07-01,2022,7,FERDINAND (HAPPY HOMES-CAMPO SIOCO),5
2022-07-01,2022,7,MAGSAYSAY PRIVATE ROAD,5
2022-07-01,2022,7,MINES VIEW PARK,5
2022-07-01,2022,7,"QUIRINO HILL, MIDDLE",5
2022-07-01,2022,7,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",5
2022-07-01,2022,7,"ROCK QUARRY, LOWER",5
2022-07-01,2022,7,TRANCOVILLE,5
2022-07-01,2022,7,AMBIONG,4
2022-07-01,2022,7,BAYAN PARK EAST,4
2022-07-01,2022,7,BROOKSIDE,4
2022-07-01,2022,7,CITY CAMP CENTRAL,4
2022-07-01,2022,7,"DAGSIAN, UPPER",4
2022-07-01,2022,7,DPS AREA,4
2022-07-01,2022,7,FORT DEL PILAR,4
2022-07-01,2022,7,"GENERAL EMILIO F. AGUINALDO (QUIRINO-MAGSAYSAY, LOWER)",4
2022-07-01,2022,7,"LOURDES SUBDIVISION, LOWER",4
2022-07-01,2022,7,"MODERN SITE, EAST",4
2022-07-01,2022,7,PADRE BURGOS,4
2022-07-01,2022,7,"QUEZON HILL, UPPER",4
2022-07-01,2022,7,SALUD MITRA,4
2022-07-01,2022,7,"SANITARY CAMP, NORTH",4
2022-07-01,2022,7,ABANAO-ZANDUETA-KAYONG-CHUGUM-OTEK,3
2022-07-01,2022,7,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),3
2022-07-01,2022,7,CAMP 8,3
2022-07-01,2022,7,CRESENCIA VILLAGE,3
2022-07-01,2022,7,DIZON SUBDIVISION,3
2022-07-01,2022,7,DOMINICAN HILL-MIRADOR,3
2022-07-01,2022,7,GUISAD SORONG,3
2022-07-01,2022,7,HONEYMOON (HONEYMOON-HOLY GHOST),3
2022-07-01,2022,7,KAYANG EXTENSION,3
2022-07-01,2022,7,LEGARDA-BURNHAM-KISAD,3
2022-07-01,2022,7,LOURDES SUBDIVISION EXTENSION,3
2022-07-01,2022,7,MIDDLE QUEZON HILL SUBDIVISION(QUEZON HILL MIDDLE),3
2022-07-01,2022,7,OUTLOOK DRIVE,3
2022-07-01,2022,7,PADRE ZAMORA,3
2022-07-01,2022,7,PALMA-URBANO (CARIÑO-PALMA),3
2022-07-01,2022,7,"QUIRINO HILL, EAST",3
2022-07-01,2022,7,"QUIRINO HILL, WEST",3
2022-07-01,2022,7,"ROCK QUARRY, UPPER",3
2022-07-01,2022,7,SAN ROQUE VILLAGE,3
2022-07-01,2022,7,SANTO ROSARIO,3
2022-07-01,2022,7,SANTO TOMAS SCHOOL AREA,3
2022-07-01,2022,7,VICTORIA VILLAGE,3
2022-07-01,2022,7,ATOK TRAIL,2
2022-07-01,2022,7,BAYAN PARK VILLAGE,2
2022-07-01,2022,7,BAYAN PARK WEST (BAYAN PARK),2
2022-07-01,2022,7,ENGINEERS' HILL,2
2022-07-01,2022,7,GABRIELA SILANG,2
2022-07-01,2022,7,"GENERAL LUNA, UPPER",2
2022-07-01,2022,7,GREENWATER VILLAGE,2
2022-07-01,2022,7,MILITARY CUT-OFF,2
2022-07-01,2022,7,SANTA ESCOLASTICA,2
2022-07-01,2022,7,SCOUT BARRIO,2
2022-07-01,2022,7,SOUTH DRIVE,2
2022-07-01,2022,7,TEODORA ALONZO,2
2022-07-01,2022,7,"AURORA HILL, NORTH CENTRAL",1
2022-07-01,2022,7,BAL-MARCOVILLE (MARCOVILLE),1
2022-07-01,2022,7,"GENERAL LUNA, LOWER",1
2022-07-01,2022,7,HAPPY HOMES (HAPPY HOMES-LUCBAN),1
2022-07-01,2022,7,HILLSIDE,1
2022-07-01,2022,7,IMELDA R. MARCOS (LA SALLE),1
2022-07-01,2022,7,"LOURDES SUBDIVISION, PROPER",1
2022-07-01,2022,7,"MAGSAYSAY, LOWER",1
2022-07-01,2022,7,"MARKET SUBDIVISION, UPPER",1
2022-07-01,2022,7,PHIL-AM,1
2022-07-01,2022,7,"SANITARY CAMP, SOUTH",1
2022-08-01,2022,8,IRISAN,70
2022-08-01,2022,8,BAKAKENG NORTH,41
2022-08-01,2022,8,CAMP 7,34
2022-08-01,2022,8,ASIN ROAD,28
2022-08-01,2022,8,FAIRVIEW VILLAGE,25
2022-08-01,2022,8,LOAKAN PROPER,24
2022-08-01,2022,8,KIAS,23
2022-08-01,2022,8,SAN LUIS VILLAGE,22
2022-08-01,2022,8,BAKAKENG CENTRAL,19
2022-08-01,2022,8,SAN VICENTE,17
2022-08-01,2022,8,PACDAL,16
2022-08-01,2022,8,SANTO TOMAS PROPER,15
2022-08-01,2022,8,GIBRALTAR,14
2022-08-01,2022,8,PINGET,14
2022-08-01,2022,8,SAINT JOSEPH VILLAGE,12
2022-08-01,2022,8,SLU-SVP HOUSING VILLAGE,12
2022-08-01,2022,8,DONTOGAN,10
2022-08-01,2022,8,GUISAD CENTRAL,10
2022-08-01,2022,8,HOLY GHOST EXTENSION,10
2022-08-01,2022,8,LIWANAG-LOAKAN,10
2022-08-01,2022,8,ENGINEERS' HILL,9
2022-08-01,2022,8,A. BONIFACIO-CAGUIOA-RIMANDO (ABCR),8
2022-08-01,2022,8,CAMP 8,8
2022-08-01,2022,8,MINES VIEW PARK,8
2022-08-01,2022,8,PINSAO PILOT PROJECT,8
2022-08-01,2022,8,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",8
2022-08-01,2022,8,SLAUGHTER HOUSE AREA (SANTO NIÑO SLAUGHTER),8
2022-08-01,2022,8,TRANCOVILLE,8
2022-08-01,2022,8,AMBIONG,7
2022-08-01,2022,8,BALSIGAN,7
2022-08-01,2022,8,CABINET HILL-TEACHER'S CAMP,7
2022-08-01,2022,8,CITY CAMP PROPER,7
2022-08-01,2022,8,GREENWATER VILLAGE,7
2022-08-01,2022,8,HONEYMOON (HONEYMOON-HOLY GHOST),7
2022-08-01,2022,8,LUCNAB,7
2022-08-01,2022,8,MIDDLE QUEZON HILL SUBDIVISION(QUEZON HILL MIDDLE),7
2022-08-01,2022,8,PUCSUSAN,7
2022-08-01,2022,8,QUEZON HILL PROPER,7
2022-08-01,2022,8,CAMP ALLEN,6
2022-08-01,2022,8,CITY CAMP CENTRAL,6
2022-08-01,2022,8,DOMINICAN HILL-MIRADOR,6
2022-08-01,2022,8,MILITARY CUT-OFF,6
2022-08-01,2022,8,"QUIRINO HILL, LOWER",6
2022-08-01,2022,8,"AURORA HILL, SOUTH CENTRAL",5
2022-08-01,2022,8,BROOKSIDE,5
2022-08-01,2022,8,IMELDA VILLAGE,5
2022-08-01,2022,8,PINSAO PROPER,5
2022-08-01,2022,8,"QUIRINO HILL, EAST",5
2022-08-01,2022,8,"QUIRINO HILL, MIDDLE",5
2022-08-01,2022,8,BAYAN PARK WEST (BAYAN PARK),4
2022-08-01,2022,8,"DAGSIAN, LOWER",4
2022-08-01,2022,8,DPS AREA,4
2022-08-01,2022,8,LOURDES SUBDIVISION EXTENSION,4
2022-08-01,2022,8,"LOURDES SUBDIVISION, PROPER",4
2022-08-01,2022,8,"MODERN SITE, EAST",4
2022-08-01,2022,8,ALFONSO TABORA,3
2022-08-01,2022,8,APUGAN-LOAKAN,3
2022-08-01,2022,8,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),3
2022-08-01,2022,8,"AURORA HILL, NORTH CENTRAL",3
2022-08-01,2022,8,BAYAN PARK EAST,3
2022-08-01,2022,8,FORT DEL PILAR,3
2022-08-01,2022,8,GABRIELA SILANG,3
2022-08-01,2022,8,"GENERAL EMILIO F. AGUINALDO (QUIRINO-MAGSAYSAY, LOWER)",3
2022-08-01,2022,8,HAPPY HOMES (HAPPY HOMES-LUCBAN),3
2022-08-01,2022,8,PALMA-URBANO (CARIÑO-PALMA),3
2022-08-01,2022,8,POLIWES,3
2022-08-01,2022,8,"QUEZON HILL, UPPER",3
2022-08-01,2022,8,"ROCK QUARRY, MIDDLE",3
2022-08-01,2022,8,"ROCK QUARRY, UPPER",3
2022-08-01,2022,8,SANTA ESCOLASTICA,3
2022-08-01,2022,8,SANTO ROSARIO,3
2022-08-01,2022,8,ANDRES BONIFACIO (LOWER BOKAWKAN),2
2022-08-01,2022,8,ATOK TRAIL,2
2022-08-01,2022,8,BGH COMPOUND,2
2022-08-01,2022,8,BROOKSPOINT,2
2022-08-01,2022,8,CAMDAS SUBDIVISION,2
2022-08-01,2022,8,COUNTRY CLUB VILLAGE,2
2022-08-01,2022,8,FERDINAND (HAPPY HOMES-CAMPO SIOCO),2
2022-08-01,2022,8,HAPPY HOLLOW,2
2022-08-01,2022,8,HILLSIDE,2
2022-08-01,2022,8,LUALHATI,2
2022-08-01,2022,8,MAGSAYSAY PRIVATE ROAD,2
2022-08-01,2022,8,"MARKET SUBDIVISION, UPPER",2
2022-08-01,2022,8,MRR-QUEEN OF PEACE,2
2022-08-01,2022,8,NEW LUCBAN,2
2022-08-01,2022,8,OUTLOOK DRIVE,2
2022-08-01,2022,8,PADRE BURGOS,2
2022-08-01,2022,8,PADRE ZAMORA,2
2022-08-01,2022,8,PHIL-AM,2
2022-08-01,2022,8,SALUD MITRA,2
2022-08-01,2022,8,TEODORA ALONZO,2
2022-08-01,2022,8,VICTORIA VILLAGE,2
2022-08-01,2022,8,CAMPO FILIPINO,1
2022-08-01,2022,8,CRESENCIA VILLAGE,1
2022-08-01,2022,8,DIZON SUBDIVISION,1
2022-08-01,2022,8,"GENERAL LUNA, LOWER",1
2022-08-01,2022,8,"GENERAL LUNA, UPPER",1
2022-08-01,2022,8,HOLY GHOST PROPER,1
2022-08-01,2022,8,KABAYANIHAN,1
2022-08-01,2022,8,KAYANG EXTENSION,1
2022-08-01,2022,8,"MAGSAYSAY, LOWER",1
2022-08-01,2022,8,"MAGSAYSAY, UPPER",1
2022-08-01,2022,8,MANUEL A. ROXAS,1
2022-08-01,2022,8,"ROCK QUARRY, LOWER",1
2022-08-01,2022,8,SAN ANTONIO VILLAGE,1
2022-08-01,2022,8,SAN ROQUE VILLAGE,1
2022-08-01,2022,8,"SANITARY CAMP, NORTH",1
2022-08-01,2022,8,SANTO TOMAS SCHOOL AREA,1
2022-08-01,2022,8,SCOUT BARRIO,1
2022-09-01,2022,9,IRISAN,45
2022-09-01,2022,9,CAMP 7,19
2022-09-01,2022,9,ASIN ROAD,18
2022-09-01,2022,9,BAKAKENG CENTRAL,15
2022-09-01,2022,9,GIBRALTAR,15
2022-09-01,2022,9,KIAS,15
2022-09-01,2022,9,LOAKAN PROPER,14
2022-09-01,2022,9,SAN LUIS VILLAGE,13
2022-09-01,2022,9,BAKAKENG NORTH,10
2022-09-01,2022,9,PINSAO PROPER,10
2022-09-01,2022,9,SANTO TOMAS PROPER,10
2022-09-01,2022,9,HAPPY HOMES (HAPPY HOMES-LUCBAN),9
2022-09-01,2022,9,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",9
2022-09-01,2022,9,CAMP 8,8
2022-09-01,2022,9,"LOURDES SUBDIVISION, PROPER",8
2022-09-01,2022,9,PINGET,8
2022-09-01,2022,9,SAN VICENTE,8
2022-09-01,2022,9,CITY CAMP PROPER,7
2022-09-01,2022,9,DONTOGAN,7
2022-09-01,2022,9,GREENWATER VILLAGE,7
2022-09-01,2022,9,PACDAL,7
2022-09-01,2022,9,SLAUGHTER HOUSE AREA (SANTO NIÑO SLAUGHTER),7
2022-09-01,2022,9,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),6
2022-09-01,2022,9,FAIRVIEW VILLAGE,6
