Date,Year,Month,Barangay,Barangay_cases
2021-06-01,2021,6,CRESENCIA VILLAGE,1
2021-06-01,2021,6,DOMINICAN HILL-MIRADOR,1
2021-06-01,2021,6,ENGINEERS' HILL,1
2021-06-01,2021,6,FAIRVIEW VILLAGE,1
2021-06-01,2021,6,FORT DEL PILAR,1
2021-06-01,2021,6,GIBRALTAR,1
2021-06-01,2021,6,GUISAD SORONG,1
2021-06-01,2021,6,HOLY GHOST PROPER,1
2021-06-01,2021,6,HONEYMOON (HONEYMOON-HOLY GHOST),1
2021-06-01,2021,6,IMELDA R. MARCOS (LA SALLE),1
2021-06-01,2021,6,LUALHATI,1
2021-06-01,2021,6,MAGSAYSAY PRIVATE ROAD,1
2021-06-01,2021,6,"MAGSAYSAY, LOWER",1
2021-06-01,2021,6,MANUEL A. ROXAS,1
2021-06-01,2021,6,MRR-QUEEN OF PEACE,1
2021-06-01,2021,6,PALMA-URBANO (CARIÑO-PALMA),1
2021-06-01,2021,6,"QUEZON HILL, UPPER",1
2021-06-01,2021,6,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",1
2021-06-01,2021,6,SAN ROQUE VILLAGE,1
2021-06-01,2021,6,"SANITARY CAMP, NORTH",1
2021-06-01,2021,6,SCOUT BARRIO,1
2021-06-01,2021,6,TRANCOVILLE,1
2021-07-01,2021,7,LOAKAN PROPER,23
2021-07-01,2021,7,KIAS,22
2021-07-01,2021,7,CAMP 7,21
2021-07-01,2021,7,PACDAL,14
2021-07-01,2021,7,BAKAKENG NORTH,12
2021-07-01,2021,7,SAN LUIS VILLAGE,12
2021-07-01,2021,7,IRISAN,11
2021-07-01,2021,7,ATOK TRAIL,10
2021-07-01,2021,7,SAN VICENTE,10
2021-07-01,2021,7,ASIN ROAD,9
2021-07-01,2021,7,BAKAKENG CENTRAL,9
2021-07-01,2021,7,BGH COMPOUND,8
2021-07-01,2021,7,"MODERN SITE, EAST",8
2021-07-01,2021,7,CAMP 8,7
2021-07-01,2021,7,GABRIELA SILANG,7
2021-07-01,2021,7,LIWANAG-LOAKAN,7
2021-07-01,2021,7,MAGSAYSAY PRIVATE ROAD,7
2021-07-01,2021,7,AURORA HILL PROPER (MALVAR-SGT. FLORESCA),6
2021-07-01,2021,7,BAYAN PARK WEST (BAYAN PARK),6
2021-07-01,2021,7,POLIWES,6
2021-07-01,2021,7,BROOKSPOINT,5
2021-07-01,2021,7,"DAGSIAN, LOWER",5
2021-07-01,2021,7,PINGET,5
2021-07-01,2021,7,PINSAO PROPER,5
2021-07-01,2021,7,QUEZON HILL PROPER,5
2021-07-01,2021,7,"QUIRINO HILL, LOWER",5
2021-07-01,2021,7,"SANITARY CAMP, SOUTH",5
2021-07-01,2021,7,DONTOGAN,4
2021-07-01,2021,7,HAPPY HOLLOW,4
2021-07-01,2021,7,HILLSIDE,4
2021-07-01,2021,7,HONEYMOON (HONEYMOON-HOLY GHOST),4
2021-07-01,2021,7,SANTO TOMAS PROPER,4
2021-07-01,2021,7,APUGAN-LOAKAN,3
2021-07-01,2021,7,CAMP ALLEN,3
2021-07-01,2021,7,CITY CAMP CENTRAL,3
2021-07-01,2021,7,DOMINICAN HILL-MIRADOR,3
2021-07-01,2021,7,FAIRVIEW VILLAGE,3
2021-07-01,2021,7,FORT DEL PILAR,3
2021-07-01,2021,7,GIBRALTAR,3
2021-07-01,2021,7,NEW LUCBAN,3
2021-07-01,2021,7,PINSAO PILOT PROJECT,3
2021-07-01,2021,7,"QUIRINO-MAGSAYSAY, UPPER (UPPER QM)",3
2021-07-01,2021,7,SANTO ROSARIO,3
2021-07-01,2021,7,TRANCOVILLE,3
2021-07-01,2021,7,"AURORA HILL, NORTH CENTRAL",2
2021-07-01,2021,7,BROOKSIDE,2
2021-07-01,2021,7,CABINET HILL-TEACHER'S CAMP,2
2021-07-01,2021,7,CAMPO FILIPINO,2
2021-07-01,2021,7,CITY CAMP PROPER,2
2021-07-01,2021,7,CRESENCIA VILLAGE,2
2021-07-01,2021,7,DPS AREA,2
2021-07-01,2021,7,GUISAD CENTRAL,2
2021-07-01,2021,7,GUISAD SORONG,2
2021-07-01,2021,7,IMELDA R. MARCOS (LA SALLE),2
2021-07-01,2021,7,IMELDA VILLAGE,2
2021-07-01,2021,7,MANUEL A. ROXAS,2
2021-07-01,2021,7,MILITARY CUT-OFF,2
2021-07-01,2021,7,"MODERN SITE, WEST",2
2021-07-01,2021,7,"QUIRINO HILL, WEST",2
2021-07-01,2021,7,"ROCK QUARRY, UPPER",2
2021-07-01,2021,7,"SANITARY CAMP, NORTH",2
2021-07-01,2021,7,SCOUT BARRIO,2
2021-07-01,2021,7,TEODORA ALONZO,2
2021-07-01,2021,7,A. BONIFACIO-CAGUIOA-RIMANDO (ABCR),1
2021-07-01,2021,7,BALSIGAN,1
2021-07-01,2021,7,BAYAN PARK EAST,1
2021-07-01,2021,7,CAMDAS SUBDIVISION,1
2021-07-01,2021,7,"DAGSIAN, UPPER",1
2021-07-01,2021,7,DIZON SUBDIVISION,1
2021-07-01,2021,7,ENGINEERS' HILL,1
2021-07-01,2021,7,FERDINAND (HAPPY HOMES-CAMPO SIOCO),1
2021-07-01,2021,7,"GENERAL EMILIO F. AGUINALDO (QUIRINO-MAGSAYSAY, LOWER)",1
2021-07-01,2021,7,HOLY GHOST EXTENSION,1
2021-07-01,2021,7,HOLY GHOST PROPER,1
2021-07-01,2021,7,LEGARDA-BURNHAM-KISAD,1
2021-07-01,2021,7,LOPEZ JAENA,1
2021-07-01,2021,7,LUCNAB,1
2021-07-01,2021,7,"MAGSAYSAY, UPPER",1
2021-07-01,2021,7,MIDDLE QUEZON HILL,1
2021-07-01,2021,7,MIDDLE QUEZON HILL SUBDIVISION(QUEZON HILL MIDDLE),1
2021-07-01,2021,7,MINES VIEW PARK,1
2021-07-01,2021,7,OUTLOOK DRIVE,1
2021-07-01,2021,7,PHIL-AM,1
2021-07-01,2021,7,"QUEZON HILL, UPPER",1
2021-07-01,2021,7,"QUIRINO HILL, EAST",1
2021-07-01,2021,7,"QUIRINO HILL, MIDDLE",1
2021-07-01,2021,7,"ROCK QUARRY, LOWER",1
