Date,Year,Month,rainfall,relative_humidity,temp_mid,cases_lag_1,cases_lag_2,cases_lag_3,rainfall_lag_1,rainfall_lag_2,rainfall_lag_3,relative_humidity_lag_1,relative_humidity_lag_2,relative_humidity_lag_3,temp_mid_lag_1,temp_mid_lag_2,temp_mid_lag_3,cases_roll3_mean,cases_roll3_max,month_sin,month_cos,predicted_outbreak_probability,predicted_outbreak_probability_lower,predicted_outbreak_probability_upper,predicted_outbreak,predicted_label,predicted_city_cases_proxy
2027-01-01,2027,1,56.440640638553624,82.10564630521768,44.37833005287949,54.0,71.0,93.0,230.8,467.0,57.8,86.87096774193549,86.36666666666666,83.54838709677419,132.75,250.75,45.9,72.66666666666667,93.0,0.49999999999999994,0.8660254037844387,0.11581196581196582,0.01581196581196581,0.21581196581196582,0,Non-outbreak,81.08233618233619
2027-02-01,2027,2,47.89548762120908,81.00724768538849,33.838542937753836,81.08233618233619,54.0,71.0,56.440640638553624,230.8,467.0,82.10564630521768,86.87096774193549,86.36666666666666,44.37833005287949,132.75,250.75,68.69411206077872,81.08233618233619,0.8660254037844386,0.5000000000000001,0.03666666666666667,0.0,0.1375,0,Non-outbreak,71.21289616967394
2027-03-01,2027,3,105.14055767430321,83.00442125581921,49.92326585727012,71.21289616967394,81.08233618233619,54.0,47.89548762120908,56.440640638553624,230.8,81.00724768538849,82.10564630521768,86.87096774193549,33.838542937753836,44.37833005287949,132.75,68.76507745067003,81.08233618233619,1.0,6.123233995736766e-17,0.03,0.0,0.13166666666666665,0,Non-outbreak,70.82802977419014
2027-04-01,2027,4,87.79695639436886,83.82777391144056,56.077572968804766,70.82802977419014,71.21289616967394,81.08233618233619,105.14055767430321,47.89548762120908,56.440640638553624,83.00442125581921,81.00724768538849,82.10564630521768,49.92326585727012,33.838542937753836,44.37833005287949,74.37442070873344,81.08233618233619,0.8660254037844387,-0.4999999999999998,0.06,0.0,0.16249999999999998,0,Non-outbreak,78.83688595125744
2027-05-01,2027,5,338.6958685450487,85.23791333119918,155.25607816927857,78.83688595125744,70.82802977419014,71.21289616967394,87.79695639436886,105.14055767430321,47.89548762120908,83.82777391144056,83.00442125581921,81.00724768538849,56.077572968804766,49.92326585727012,33.838542937753836,73.62593729837384,78.83688595125744,0.49999999999999994,-0.8660254037844387,0.4955443601781631,0.3922110268448298,0.5988776935114964,0,Non-outbreak,110.11085528941406
2027-06-01,2027,6,287.172611524257,88.10623399864653,176.27461336824922,110.11085528941406,78.83688595125744,70.82802977419014,338.6958685450487,87.79695639436886,105.14055767430321,85.23791333119918,83.82777391144056,83.00442125581921,155.25607816927857,56.077572968804766,49.92326585727012,86.59192367162056,110.11085528941406,1.2246467991473532e-16,-1.0,0.6646896593234621,0.5605229926567954,0.7688563259901289,1,Outbreak,144.14867991707328
2027-07-01,2027,7,1026.336846451843,90.7033168074721,711.0451787490452,144.14867991707328,110.11085528941406,78.83688595125744,287.172611524257,338.6958685450487,87.79695639436886,88.10623399864653,85.23791333119918,83.82777391144056,176.27461336824922,155.25607816927857,56.077572968804766,111.03214038591493,144.14867991707328,-0.4999999999999997,-0.8660254037844388,0.7230657276995305,0.6180657276995305,0.8280657276995305,1,Outbreak,191.31567577209293
2027-08-01,2027,8,604.9447552608474,91.45490601640475,286.5763618351169,191.31567577209293,144.14867991707328,110.11085528941406,1026.336846451843,287.172611524257,338.6958685450487,90.7033168074721,88.10623399864653,85.23791333119918,711.0451787490452,176.27461336824922,155.25607816927857,148.5250703261934,191.31567577209293,-0.8660254037844384,-0.5000000000000004,0.5185283446712018,0.41269501133786846,0.6243616780045351,1,Outbreak,225.53952918460828
2027-09-01,2027,9,636.5258503582384,91.06686607284229,379.92141772150865,225.53952918460828,191.31567577209293,144.14867991707328,604.9447552608474,1026.336846451843,287.172611524257,91.45490601640475,90.7033168074721,88.10623399864653,286.5763618351169,711.0451787490452,176.27461336824922,187.00129495792484,225.53952918460828,-1.0,-1.8369701987210297e-16,0.39,0.2833333333333333,0.4966666666666667,0,Non-outbreak,259.93179999151556
2027-10-01,2027,10,553.1712533448375,88.19713300514178,267.4000627511255,259.93179999151556,225.53952918460828,191.31567577209293,636.5258503582384,604.9447552608474,1026.336846451843,91.06686607284229,91.45490601640475,90.7033168074721,379.92141772150865,286.5763618351169,711.0451787490452,225.59566831607222,259.93179999151556,-0.8660254037844386,0.5000000000000001,0.26,0.15250000000000002,0.3675,0,Non-outbreak,284.250542078251
2027-11-01,2027,11,174.35603728922538,84.85160686213497,122.83537979471636,284.250542078251,259.93179999151556,225.53952918460828,553.1712533448375,636.5258503582384,604.9447552608474,88.19713300514178,91.06686607284229,91.45490601640475,267.4000627511255,379.92141772150865,286.5763618351169,256.57395708479163,284.250542078251,-0.5000000000000004,0.8660254037844384,0.28901960784313724,0.1806862745098039,0.3973529411764706,0,Non-outbreak,330.7288615442001
