feature,base_avg_outbreak_probability,new_avg_outbreak_probability,delta_probability
rainfall,0.33001516541771797,0.3309410913436439,0.0009259259259259411
temp_mid,0.33001516541771797,0.33020035060290315,0.00018518518518517713
relative_humidity,0.33001516541771797,0.2894596098621624,-0.04055555555555557
